id,addr,reg,eng,raw,ok,scale,ro
F0.00,0xF000,61440,2.6,26,True,10,0
F0.01,0xF001,61441,0.5,5,True,10,0
F0.02,0xF002,61442,0.0,0,True,1,0
F0.03,0xF003,61443,0.0,0,True,1,0
F0.04,0xF004,61444,25.0,25,True,1,0
F0.05,0xF005,61445,0.0,0,True,1,0
F0.06,0xF006,61446,0.0,0,True,1,0
F0.07,0xF007,61447,1.0,10,True,10,0
F0.08,0xF008,61448,10.0,100,True,10,0
F0.09,0xF009,61449,0.0,0,True,10,0
F0.10,0xF00A,61450,9.0,90,True,10,0
F0.11,0xF00B,61451,0.0,0,True,10,0
F0.12,0xF00C,61452,3.5,35,True,10,0
F0.13,0xF00D,61453,2.5,25,True,10,0
F0.14,0xF00E,61454,0.0,0,True,1,0
F0.15,0xF00F,61455,0.0,0,True,1,0
F0.16,0xF010,61456,0.0,0,True,1,1
F0.17,0xF011,61457,2006.0,2006,True,1,1
F0.18,0xF012,61458,2.5,25,True,10,0
F0.19,0xF013,61459,5.0,50,True,10,0
F0.20,0xF014,61460,0.0,0,True,1,0
F1.00,0xF100,61696,0.0,0,True,1,1
F1.01,0xF101,61697,0.0,0,True,1,0
F1.02,0xF102,61698,0.0,0,True,1,1
F1.03,0xF103,61699,0.0,0,True,1,1
F1.04,0xF104,61700,0.0,0,True,1,0
F1.05,0xF105,61701,0.1,1,True,10,0
F1.06,0xF106,61702,5.0,5,True,1,0
F1.07,0xF107,61703,0.1,1,True,10,0
F1.17,0xF111,61713,1.0,1,True,1,0
F1.18,0xF112,61714,1.0,1,True,1,0
F2.00,0xF200,61952,0.0,0,True,1,0
F2.01,0xF201,61953,1000.0,1000,True,1,0
F2.02,0xF202,61954,0.0,0,True,1,0
F2.03,0xF203,61955,1000.0,1000,True,1,0
F2.04,0xF204,61956,1.0,1,True,1,0
F2.05,0xF205,61957,0.8,8,True,10,0
F2.06,0xF206,61958,63.0,6300,True,100,0
F2.07,0xF207,61959,63.0,6300,True,100,0
F2.08,0xF208,61960,40.0,4000,True,100,0
F2.09,0xF209,61961,0.0,0,True,1,0
F2.10,0xF20A,61962,15.0,150,True,10,0
F2.11,0xF20B,61963,2.0,2,True,1,0
F2.12,0xF20C,61964,0.0,0,True,1,0
F2.13,0xF20D,61965,3.0,3,True,1,0
F2.14,0xF20E,61966,4097.0,4097,True,1,0
F2.15,0xF20F,61967,800.0,800,True,1,0
F3.00,0xF300,62208,120.0,1200,True,10,0
F3.01,0xF301,62209,1.0,100,True,100,0
F3.02,0xF302,62210,0.0,0,True,10,0
F3.03,0xF303,62211,1.0,10,True,10,0
F3.04,0xF304,62212,0.0,0,True,1,0
F3.05,0xF305,62213,0.0,0,True,1,0
F3.06,0xF306,62214,0.0,0,True,1,0
F3.07,0xF307,62215,30.0,300,True,10,0
F3.08,0xF308,62216,2.0,2,True,1,0
F3.09,0xF309,62217,0.1,1,True,10,0
F3.10,0xF30A,62218,5.0,50,True,10,0
F3.11,0xF30B,62219,0.1,1,True,10,0
F3.12,0xF30C,62220,39.0,3900,True,100,0
F3.13,0xF30D,62221,39.0,3900,True,100,0
F3.14,0xF30E,62222,0.0,0,True,10,0
F3.15,0xF30F,62223,3.0,300,True,100,0
F3.16,0xF310,62224,3780.0,3780,True,1,0
F3.17,0xF311,62225,9.0,9,True,1,0
F3.18,0xF312,62226,3.0,3,True,1,0
F3.19,0xF313,62227,20.0,20,True,1,0
